"Código","Nome","UF","Latitude","Longitude","Altitude","Fundação","DataFinal"
"A433","BRUMADO","BA",-14.1819,-41.6723,473.37,"2008-04-28","2022-12-31"
"A434","AMARGOSA","BA",-13.0095,-39.6169,397.8,"2008-07-11","2022-12-31"
"A435","UAUA","BA",-9.8336,-39.4956,450.6,"2008-05-20","2021-12-31"
"A436","QUEIMADAS","BA",-10.9846,-39.617,310.11,"2008-05-23","2022-12-31"
"A437","UNA","BA",-15.2803,-39.0914,74.08,"2008-06-25","2022-12-31"
"A438","MARAU","BA",-13.9069,-38.9722,6.24,"2008-06-22","2022-12-31"
"A439","IBOTIRAMA","BA",-12.1931,-43.2133,425.12,"2008-04-28","2022-12-31"
"A440","JACOBINA","BA",-11.205,-40.465,440.78,"2008-05-01","2022-12-31"
"A441","SERRINHA","BA",-11.6647,-39.0229,337.79,"2008-05-09","2022-12-31"
"A442","EUCLIDES DA CUNHA","BA",-10.5372,-38.9966,431.96,"2008-03-31","2022-12-31"
"A443","DELFINO","BA",-10.4549,-41.2069,646.24,"2008-07-15","2022-12-31"
"A444","VALENCA","BA",-13.3436,-39.1267,93.12,"2009-06-29","2022-12-31"
"A445","IPIAU","BA",-14.1713,-39.6925,132.11,"2009-06-30","2022-12-31"
"A446","ITAPETINGA","BA",-15.2446,-40.2296,271.48,"2009-06-25","2022-12-31"
"A447","BELMONTE","BA",-16.0881,-39.2153,89.67,"2009-07-02","2022-12-31"
"A448","CURACA","BA",-9.0014,-39.9125,370,"2015-08-20","2022-12-31"
"A449","PILAO ARCADO","BA",-10.0183,-42.5003,385,"2016-05-28","2022-12-31"
"A450","JEREMOABO","BA",-10.0808,-38.3458,261,"2015-08-13","2022-12-31"
"A452","FORMOSA DO RIO PRETO","BA",-11.0522,-45.2008,488,"2016-06-02","2022-12-31"
"A455","ITAMARAJU","BA",-17.0069,-39.5581,110,"2016-05-28","2022-12-31"
"A456","SALVADOR (RADIO FAROL)","BA",-12.8083,-38.4958,31,"2018-03-10","2022-12-31"
"A458","RIBEIRA DO AMPARO","BA",-11.0586,-38.4442,182,"2018-09-20","2022-12-31"
"A305","FORTALEZA","CE",-3.8158,-38.5378,29.55,"2003-02-18","2022-12-31"
"A306","SOBRAL","CE",-3.7481,-40.3458,92.07,"2003-02-12","2022-12-31"
"A314","GUARAMIRANGA","CE",-4.2292,-38.9589,865.53,"2007-05-26","2022-12-31"
"A315","BARBALHA","CE",-7.3008,-39.2711,409.41,"2007-05-31","2022-12-31"
"A319","IGUATU","CE",-6.3964,-39.2689,221.56,"2007-05-30","2022-12-31"
"A324","TAUA","CE",-6.0175,-40.2814,410.87,"2007-07-12","2022-12-31"
"A325","QUIXERAMOBIM","CE",-5.1744,-39.2894,221.04,"2007-07-09","2022-12-31"
"A332","MORADA NOVA","CE",-5.0911,-38.3647,92,"2007-08-24","2022-12-31"
"A339","JAGUARUANA","CE",-4.7869,-37.7667,49,"2007-11-10","2022-12-31"
"A342","CRATEUS","CE",-5.1867,-40.6722,298.19,"2008-12-11","2022-12-31"
"A347","CAMPOS SALES","CE",-7.0778,-40.3628,577.95,"2008-03-07","2022-12-31"
"A358","JAGUARIBE","CE",-5.9056,-38.6278,149.31,"2008-09-10","2022-12-31"
"A359","ITAPIPOCA","CE",-3.4842,-39.5886,104.49,"2008-09-05","2022-12-31"
"A360","ACARAU","CE",-3.1211,-40.0872,67.15,"2009-04-22","2022-12-31"
"A368","TIANGUA","CE",-3.7322,-41.0119,756,"2018-03-15","2022-12-31"
"A369","QUIXADA","CE",-4.9788,-39.0572,193,"2018-03-20","2022-12-31"
"A203","SAO LUIS","MA",-2.5267,-44.2136,54.8,"2003-01-29","2022-12-31"
"A204","BALSAS","MA",-7.4556,-46.0275,271.03,"2007-10-26","2022-12-31"
"A205","CAROLINA","MA",-7.3373,-47.4598,182.88,"2007-12-04","2022-12-31"
"A206","CHAPADINHA","MA",-3.7427,-43.3522,104,"2008-09-17","2022-12-31"
"A207","GRAJAU","MA",-5.8161,-46.1622,232.29,"2008-09-10","2022-12-31"
"A217","FAROL de SANTANA","MA",-2.2708,-43.6242,9.87,"2008-11-28","2022-12-31"
"A218","PREGUICAS","MA",-2.5922,-42.7075,4.62,"2008-11-22","2022-12-31"
"A219","TURIACU","MA",-1.6611,-45.3725,35.86,"2008-06-10","2022-12-31"
"A220","BACABAL","MA",-4.2431,-44.795,22.33,"2008-07-09","2022-12-31"
"A221","BARRA DO CORDA","MA",-5.5067,-45.2369,154.19,"2008-03-06","2022-12-31"
"A222","COLINAS","MA",-6.0331,-44.2334,175.37,"2008-06-03","2022-12-31"
"A223","ALTO PARNAIBA","MA",-9.1083,-45.932,283.69,"2008-06-03","2022-12-31"
"A224","ESTREITO","MA",-6.6533,-47.4183,182.96,"2008-02-27","2022-12-31"
"A225","IMPERATRIZ","MA",-5.5558,-47.4598,117.96,"2008-03-01","2022-12-31"
"A237","CAXIAS","MA",-4.8214,-43.3437,84.85,"2008-07-13","2022-12-31"
